date,start,end
2024-07-09,18:15:00,19:15:00
2024-07-09,19:20:00,21:20:00
2024-07-10,08:30:00,10:30:00
2024-07-10,08:30:00,12:30:00
2024-07-10,09:30:00,10:30:00
2024-07-10,09:35:00,10:35:00
2024-07-10,10:40:00,11:40:00
2024-07-10,10:40:00,12:40:00
2024-07-10,11:00:00,12:30:00
2024-07-10,11:45:00,12:45:00
2024-07-10,13:20:00,14:20:00
2024-07-10,13:20:00,14:50:00
2024-07-10,13:20:00,15:20:00
2024-07-10,14:25:00,15:25:00
2024-07-10,15:30:00,16:30:00
2024-07-10,17:10:00,19:10:00
2024-07-10,18:15:00,19:15:00
2024-07-10,19:20:00,21:20:00
2024-07-10,20:25:00,21:25:00
2024-07-11,08:30:00,09:30:00
2024-07-11,08:30:00,10:30:00
2024-07-11,08:30:00,12:30:00
2024-07-11,09:00:00,10:00:00
2024-07-11,09:30:00,10:30:00
2024-07-11,09:35:00,10:35:00
2024-07-11,10:40:00,11:40:00
2024-07-11,10:40:00,12:40:00
2024-07-11,11:45:00,12:45:00
2024-07-11,13:20:00,14:20:00
2024-07-11,13:20:00,15:20:00
2024-07-11,15:30:00,16:30:00
2024-07-13,12:15:00,13:15:00
2024-07-13,12:15:00,14:15:00
2024-07-13,13:20:00,14:20:00
2024-07-13,14:25:00,15:25:00
2024-07-13,14:25:00,16:25:00
2024-07-13,15:30:00,16:30:00
2024-07-13,17:10:00,18:10:00
2024-07-13,17:10:00,19:10:00
2024-07-13,19:20:00,20:20:00
2024-07-14,08:30:00,09:30:00
2024-07-14,08:30:00,10:30:00
2024-07-14,08:30:00,12:30:00
2024-07-14,09:00:00,10:00:00
2024-07-14,09:30:00,10:30:00
2024-07-14,09:35:00,10:35:00
2024-07-14,10:40:00,11:40:00
2024-07-14,10:40:00,12:40:00
2024-07-14,13:20:00,14:20:00
2024-07-14,13:20:00,15:20:00
2024-07-14,13:30:00,14:00:00
2024-07-14,14:25:00,15:25:00
2024-07-14,14:25:00,16:25:00
2024-07-14,14:30:00,16:30:00
2024-07-14,15:30:00,16:30:00
2024-07-14,17:10:00,18:10:00
2024-07-14,17:10:00,19:10:00
2024-07-14,18:15:00,19:15:00
2024-07-14,19:20:00,21:20:00
2024-07-15,08:30:00,10:30:00
2024-07-15,08:30:00,12:30:00
2024-07-15,09:35:00,10:35:00
2024-07-15,10:40:00,11:40:00
2024-07-15,10:40:00,12:40:00
2024-07-15,11:45:00,12:45:00
2024-07-15,13:20:00,14:20:00
2024-07-15,13:20:00,14:50:00
2024-07-15,13:20:00,15:20:00
2024-07-15,14:00:00,15:30:00
2024-07-15,14:25:00,15:25:00
2024-07-15,14:30:00,15:15:00
2024-07-15,14:30:00,16:30:00
2024-07-15,15:30:00,16:30:00
2024-07-15,17:10:00,18:10:00
2024-07-15,17:10:00,19:10:00
2024-07-15,18:15:00,19:15:00
2024-07-15,19:20:00,21:20:00
2024-07-15,20:25:00,21:25:00
2024-07-16,08:30:00,09:30:00
2024-07-16,08:30:00,10:30:00
2024-07-16,08:30:00,12:30:00
2024-07-16,09:00:00,10:00:00
2024-07-16,09:35:00,10:35:00
2024-07-16,10:40:00,11:40:00
2024-07-16,10:40:00,12:40:00
2024-07-16,11:45:00,12:45:00
2024-07-16,13:05:00,14:05:00
2024-07-16,13:20:00,14:20:00
2024-07-16,13:20:00,15:20:00
2024-07-16,14:25:00,15:25:00
2024-07-16,14:25:00,15:25:00
2024-07-16,14:30:00,16:30:00
2024-07-16,14:35:00,15:10:00
2024-07-16,15:30:00,16:30:00
2024-07-16,15:35:00,16:15:00
2024-07-16,17:10:00,18:10:00
2024-07-16,17:10:00,19:10:00
2024-07-16,18:15:00,19:15:00
2024-07-16,19:20:00,21:20:00
2024-07-17,08:30:00,10:30:00
2024-07-17,08:30:00,12:30:00
2024-07-17,09:35:00,10:35:00
2024-07-17,10:40:00,11:40:00
2024-07-17,10:40:00,12:40:00
2024-07-17,11:00:00,12:30:00
2024-07-17,13:20:00,14:20:00
2024-07-17,13:20:00,14:50:00
2024-07-17,13:20:00,15:20:00
2024-07-17,14:25:00,15:25:00
2024-07-17,14:25:00,16:25:00
2024-07-17,15:30:00,16:30:00
2024-07-17,16:55:00,17:45:00
2024-07-17,17:10:00,19:10:00
2024-07-17,18:15:00,19:15:00
2024-07-17,19:20:00,21:20:00
2024-07-17,20:25:00,21:25:00
2024-07-18,08:30:00,09:30:00
2024-07-18,08:30:00,10:30:00
2024-07-18,08:30:00,12:30:00
2024-07-18,09:00:00,10:00:00
2024-07-18,09:35:00,10:35:00
2024-07-18,10:40:00,11:40:00
2024-07-18,10:40:00,12:40:00
2024-07-18,11:45:00,12:45:00
2024-07-18,13:20:00,14:20:00
2024-07-18,13:20:00,15:20:00
2024-07-18,14:25:00,15:25:00
2024-07-18,15:30:00,16:30:00
2024-07-20,12:15:00,13:15:00
2024-07-20,12:15:00,14:15:00
2024-07-20,13:20:00,14:20:00
2024-07-20,14:25:00,15:25:00
2024-07-20,14:25:00,16:25:00
2024-07-20,15:30:00,16:25:00
2024-07-20,15:30:00,16:30:00
2024-07-20,17:10:00,19:10:00
2024-07-20,19:20:00,20:20:00
2024-07-20,19:25:00,20:00:00
2024-07-21,08:30:00,09:30:00
2024-07-21,08:30:00,10:30:00
2024-07-21,08:30:00,12:30:00
2024-07-21,09:00:00,10:00:00
2024-07-21,09:30:00,10:30:00
2024-07-21,09:35:00,10:35:00
2024-07-21,10:40:00,11:40:00
2024-07-21,10:40:00,12:40:00
2024-07-21,11:45:00,12:45:00
2024-07-21,13:20:00,14:20:00
2024-07-21,13:20:00,15:20:00
2024-07-21,14:25:00,15:25:00
2024-07-21,14:30:00,16:30:00
2024-07-21,15:30:00,16:30:00
2024-07-21,17:10:00,18:10:00
2024-07-21,17:10:00,19:10:00
2024-07-21,18:15:00,19:15:00
2024-07-21,19:20:00,21:20:00
2024-07-22,08:30:00,09:30:00
2024-07-22,08:30:00,10:30:00
2024-07-22,08:30:00,12:30:00
2024-07-22,09:30:00,10:30:00
2024-07-22,09:35:00,10:35:00
2024-07-22,10:40:00,11:40:00
2024-07-22,10:40:00,12:40:00
2024-07-22,11:00:00,12:30:00
2024-07-22,11:45:00,12:45:00
2024-07-22,13:00:00,14:20:00
2024-07-22,13:20:00,14:20:00
2024-07-22,13:20:00,14:50:00
2024-07-22,13:20:00,15:20:00
2024-07-22,14:00:00,15:30:00
2024-07-22,14:25:00,15:25:00
2024-07-22,14:30:00,16:30:00
2024-07-22,15:30:00,16:30:00
2024-07-22,17:05:00,17:30:00
2024-07-22,17:10:00,19:10:00
2024-07-22,18:15:00,19:15:00
2024-07-22,19:20:00,21:20:00
2024-07-23,08:30:00,09:30:00
2024-07-23,08:30:00,10:30:00
2024-07-23,08:30:00,12:30:00
2024-07-23,09:00:00,10:00:00
2024-07-23,09:30:00,10:30:00
2024-07-23,09:35:00,10:35:00
2024-07-23,10:40:00,11:40:00
2024-07-23,10:40:00,12:40:00
2024-07-23,13:20:00,14:20:00
2024-07-23,13:20:00,15:20:00
2024-07-23,14:25:00,15:25:00
2024-07-23,14:30:00,16:30:00
2024-07-23,15:30:00,16:30:00
2024-07-23,17:10:00,18:10:00
2024-07-23,17:10:00,19:10:00
2024-07-23,17:35:00,18:10:00
2024-07-23,18:15:00,19:15:00
2024-07-23,19:20:00,20:20:00
2024-07-23,19:20:00,21:20:00
2024-07-24,08:30:00,10:30:00
2024-07-24,08:30:00,12:30:00
2024-07-24,09:30:00,10:30:00
2024-07-24,09:35:00,10:35:00
2024-07-24,10:40:00,11:40:00
2024-07-24,10:40:00,12:40:00
2024-07-24,11:00:00,12:30:00
2024-07-24,13:10:00,13:40:00
2024-07-24,13:20:00,14:20:00
2024-07-24,13:20:00,14:50:00
2024-07-24,13:20:00,15:20:00
2024-07-24,14:25:00,15:25:00
2024-07-24,15:30:00,16:30:00
2024-07-24,17:10:00,18:10:00
2024-07-24,17:10:00,19:10:00
2024-07-24,18:15:00,19:15:00
2024-07-24,19:20:00,21:20:00
2024-07-24,20:25:00,21:25:00
2024-07-25,08:30:00,09:30:00
2024-07-25,08:30:00,10:30:00
2024-07-25,08:30:00,12:30:00
2024-07-25,09:00:00,10:00:00
2024-07-25,09:30:00,10:30:00
2024-07-25,09:35:00,10:35:00
2024-07-25,10:15:00,11:15:00
2024-07-25,10:40:00,11:40:00
2024-07-25,10:40:00,12:40:00
2024-07-25,11:45:00,12:45:00
2024-07-25,13:20:00,14:20:00
2024-07-25,13:20:00,15:20:00
2024-07-25,15:30:00,16:30:00
2024-07-27,12:15:00,14:15:00
2024-07-27,13:20:00,14:20:00
2024-07-27,14:25:00,15:25:00
2024-07-27,14:25:00,16:25:00
2024-07-27,15:30:00,16:30:00
2024-07-27,17:10:00,18:10:00
2024-07-27,17:10:00,19:10:00
2024-07-27,18:15:00,19:15:00
2024-07-27,19:20:00,20:20:00
2024-07-28,08:30:00,09:30:00
2024-07-28,08:30:00,10:30:00
2024-07-28,09:00:00,10:00:00
2024-07-28,09:30:00,10:30:00
2024-07-28,09:35:00,10:35:00
2024-07-28,10:15:00,10:30:00
2024-07-28,10:40:00,11:40:00
2024-07-28,10:40:00,12:40:00
2024-07-28,13:20:00,14:20:00
2024-07-28,13:20:00,15:20:00
2024-07-28,14:25:00,15:25:00
2024-07-28,14:30:00,16:30:00
2024-07-28,15:30:00,16:30:00
2024-07-28,17:10:00,18:10:00
2024-07-28,17:10:00,19:10:00
2024-07-28,18:15:00,19:15:00
2024-07-28,19:20:00,20:20:00
2024-07-28,19:20:00,21:20:00
2024-07-29,08:30:00,10:30:00
2024-07-29,08:30:00,12:30:00
2024-07-29,09:30:00,10:30:00
2024-07-29,09:35:00,10:35:00
2024-07-29,10:40:00,11:40:00
2024-07-29,10:40:00,12:40:00
2024-07-29,13:20:00,14:20:00
2024-07-29,13:20:00,14:50:00
2024-07-29,13:20:00,15:20:00
2024-07-29,14:00:00,15:30:00
2024-07-29,14:25:00,15:25:00
2024-07-29,14:30:00,16:30:00
2024-07-29,15:30:00,16:30:00
2024-07-29,17:10:00,19:10:00
2024-07-29,18:15:00,19:15:00
2024-07-29,19:20:00,20:20:00
2024-07-29,19:20:00,21:20:00
2024-07-30,08:30:00,10:30:00
2024-07-30,08:30:00,12:30:00
2024-07-30,09:00:00,10:00:00
2024-07-30,09:30:00,10:30:00
2024-07-30,09:35:00,10:35:00
2024-07-30,10:40:00,11:40:00
2024-07-30,10:40:00,12:40:00
2024-07-30,13:20:00,14:20:00
2024-07-30,13:20:00,15:20:00
2024-07-30,14:25:00,15:25:00
2024-07-30,14:30:00,16:30:00
2024-07-30,15:30:00,16:30:00
2024-07-30,17:10:00,18:10:00
2024-07-30,17:10:00,19:10:00
2024-07-30,18:15:00,19:15:00
2024-07-30,19:20:00,20:20:00
2024-07-30,19:20:00,21:20:00
2024-07-31,08:30:00,09:30:00
2024-07-31,08:30:00,10:30:00
2024-07-31,08:30:00,12:30:00
2024-07-31,09:30:00,10:30:00
2024-07-31,09:35:00,10:35:00
2024-07-31,10:40:00,11:40:00
2024-07-31,10:40:00,12:40:00
2024-07-31,11:00:00,12:30:00
2024-07-31,13:20:00,14:20:00
2024-07-31,13:20:00,14:50:00
2024-07-31,13:20:00,15:20:00
2024-07-31,14:25:00,15:25:00
2024-07-31,15:30:00,16:30:00
2024-07-31,17:10:00,19:10:00
2024-07-31,18:15:00,19:15:00
2024-07-31,19:20:00,20:20:00
2024-07-31,19:20:00,21:20:00
2024-07-31,20:25:00,21:25:00
2024-08-01,08:30:00,09:30:00
2024-08-01,08:30:00,10:30:00
2024-08-01,08:30:00,12:30:00
2024-08-01,09:00:00,10:00:00
2024-08-01,09:30:00,10:30:00
2024-08-01,09:35:00,10:35:00
2024-08-01,10:40:00,11:40:00
2024-08-01,10:40:00,12:40:00
2024-08-01,11:45:00,12:45:00
2024-08-01,13:20:00,14:20:00
2024-08-01,13:20:00,15:20:00
2024-08-01,15:30:00,16:30:00
2024-08-03,12:15:00,14:15:00
2024-08-03,13:20:00,14:20:00
2024-08-03,14:25:00,15:25:00
2024-08-03,14:25:00,16:25:00
2024-08-03,17:10:00,19:10:00
2024-08-03,19:20:00,20:20:00
